                   frame  Start Frame
    0.005 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/shoulder_l_Rotation (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/shoulder_l_Rotation (CHOP:select)
    0.018 ms  2097 cook    Chain Start  /project1/Send/shoulder_l_Rotation (CHOP:select)
    0.003 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/shoulder_l_Rotation1 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/shoulder_l_Rotation1 (CHOP:select)
    0.003 ms  2097 cook    Chain Start  /project1/Send/shoulder_l_Rotation1 (CHOP:select)
    0.003 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/shoulder_r_Rotation1 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/shoulder_r_Rotation1 (CHOP:select)
    0.007 ms  2097 cook    Chain Start  /project1/Send/shoulder_r_Rotation1 (CHOP:select)
    0.003 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/shoulder_r_Rotation2 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/shoulder_r_Rotation2 (CHOP:select)
    0.003 ms  2097 cook    Chain Start  /project1/Send/shoulder_r_Rotation2 (CHOP:select)
    0.003 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation10 (CHOP:select)
    0.000 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation10 (CHOP:select)
    0.002 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation10 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/select_elbow_r_Rotation1 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/select_elbow_r_Rotation1 (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/select_elbow_r_Rotation1 (CHOP:select)
    0.003 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/select_elbow_r_Rotation2 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/select_elbow_r_Rotation2 (CHOP:select)
    0.003 ms  2097 cook    Chain Start  /project1/Send/select_elbow_r_Rotation2 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation1 (CHOP:select)
    0.000 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation1 (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation1 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation11 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation11 (CHOP:select)
    0.002 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation11 (CHOP:select)
    0.003 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation2 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation2 (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation2 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation12 (CHOP:select)
    0.000 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation12 (CHOP:select)
    0.002 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation12 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation13 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation13 (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation13 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation4 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation4 (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation4 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation14 (CHOP:select)
    0.000 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation14 (CHOP:select)
    0.002 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation14 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation5 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation5 (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation5 (CHOP:select)
    0.003 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation15 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation15 (CHOP:select)
    0.002 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation15 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation6 (CHOP:select)
    0.000 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation6 (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation6 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation16 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation16 (CHOP:select)
    0.002 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation16 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation7 (CHOP:select)
    0.000 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation7 (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation7 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation8 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation8 (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation8 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation18 (CHOP:select)
    0.000 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation18 (CHOP:select)
    0.002 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation18 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation9 (CHOP:select)
    0.000 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation9 (CHOP:select)
    0.006 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation9 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation19 (CHOP:select)
    0.000 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation19 (CHOP:select)
    0.002 ms  2097 cook    Chain Start  /project1/Send/elbow_l_Rotation19 (CHOP:select)
    0.002 ms       misc   Cooking CHOP with 0 channels:  /project1/Send/elbow_l_Rotation17 (CHOP:select)
    0.001 ms       cook    Propagating changes to other nodes /project1/Send/elbow_l_Rotation17 (CHOP:select)
    0.003 ms  2095 cook    Chain Start  /project1/Send/elbow_l_Rotation17 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/shoulder_l_Rotation (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/shoulder_l_Rotation1 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/shoulder_r_Rotation1 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/shoulder_r_Rotation2 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation10 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/select_elbow_r_Rotation1 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/select_elbow_r_Rotation2 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation1 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation11 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation2 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation12 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation13 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation4 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation14 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation5 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation15 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation6 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation16 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation7 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation8 (CHOP:select)
